Year,SERIES,UNIT_MEASURE,Spol,Stepen urbanizacije,Value
2023.0,Dolasci  turista  u hilj./tis.,Hiljade,,Ukupno,1.262
2013.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,166.0
2014.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,163.0
2015.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,186.0
2016.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,199.0
2017.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,210.0
2018.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,228.0
2019.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,256.0
2020.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,177.0
2021.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,289.0
2022.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,338.0
2023.0,Dolasci  turista  u hilj./tis.,Hiljade,,Domaći,350.0
2013.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,411.0
2014.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,413.0
2015.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,537.0
2016.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,613.0
2017.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,739.0
2018.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,843.0
2019.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,971.0
2020.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,129.0
2021.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,378.0
2022.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,686.0
2023.0,Dolasci  turista  u hilj./tis.,Hiljade,,Strani,912.0
2013.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.135
2014.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.095
2015.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.439
2016.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.62
2017.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.861
2018.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,2.095
2019.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,2.38
2020.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,704.0
2021.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,1.496
2022.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,2.163
2023.0,Noćenja turista u hilj./tis.,Hiljade,,Ukupno,2.56
2013.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,309.0
2014.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,292.0
2015.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,342.0
2016.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,346.0
2017.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,364.0
2018.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,413.0
2019.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,479.0
2020.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,413.0
2021.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,571.0
2022.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,660.0
2023.0,Noćenja turista u hilj./tis.,Hiljade,,Domaći,680.0
2013.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,826.0
2014.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,803.0
2015.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.097
2016.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.274
2017.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.497
2018.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.682
2019.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.901
2020.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,291.0
2021.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,925.0
2022.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.503
2023.0,Noćenja turista u hilj./tis.,Hiljade,,Strani,1.88
2013.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,-2.1
2014.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,0.0
2015.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,2.2
2016.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,1.8
2017.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,9.3
2018.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,3.0
2019.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,6.8
2020.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,-28.8
2021.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,19.0
2022.0,"Bruto dodana vrijednost dijelatnosti I - Djelatnosti pružanja smještaja te priprema i usluživanje hrane, godišnje stope realnog rasta",Procenat,,,20.5
,,,,,
