Year,SERIES,UNIT_MEASURE,Spol,COMPOSITE_BREAKDOWN,Stepen urbanizacije,Godine,Value
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,16 do 74 godine,64.7
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,16 do 74 godine,65.2
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,16 do 74 godine,58.7
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba računara,Ukupno,16 do 74 godine,63.9
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,65.1
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,69.7
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.6
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,73.4
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.5
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,77.1
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,66.8
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.1
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,72.0
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.7
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,74.8
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Muškarci,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,79.5
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,63.1
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.1
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,66.1
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,68.9
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,70.6
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Žene,Upotreba interneta,Ukupno,Svi dobni rasponi ili nema podjele po godinama,74.9
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,56.2
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,61.2
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,64.1
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,67.2
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,60.9
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Ruralno,Svi dobni rasponi ili nema podjele po godinama,64.6
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,66.8
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,68.5
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,65.1
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,70.7
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,64.4
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba računara,Urbano,Svi dobni rasponi ili nema podjele po godinama,70.2
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,60.5
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,65.0
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,69.5
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,71.3
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,68.8
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Ruralno,Svi dobni rasponi ili nema podjele po godinama,75.3
2017.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,71.0
2018.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,74.6
2019.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,67.6
2020.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,76.2
2021.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,76.9
2022.0,Udio mladih i odraslih sa vještinama u informacionim i komunikacionim tehnologijama (IKT),Procenat,Oba spola ili bez podjele po spolu,Upotreba interneta,Urbano,Svi dobni rasponi ili nema podjele po godinama,79.2
,,,,,,,
