Year,SERIES,UNIT_MEASURE,Spol,Godine,Nivo obrazovanja,Value
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Oba spola ili bez podjele po spolu,70 godina i više,,3.8
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Muškarci,70 godina i više,,6.5
2013.0,Stanovništvo sa završenom visokom školom/fakultetskom/akademskom po starosti i spolu,Procenat,Žene,70 godina i više,,1.9
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
