Year,SERIES,Godine,Kategorije korisnika,Spol,UNIT_MEASURE,Value
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,289.0
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,275.0
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,280.0
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,277.0
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,221.0
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,157.0
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,214.0
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,1.02
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Pomoć u rješavanju stambenog pitanja,,,194.0
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,12.889
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,12.839
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,11.872
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,11.201
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,9.019
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.934
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.71
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.404
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,8.086
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,12.519
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,9.63
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.745
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.667
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.85
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.692
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.756
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.558
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,10.394
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,9.696
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,S teškim stambenim prilikama,,,8.355
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.622
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.098
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.242
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,2.949
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.01
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,2.913
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.151
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.102
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,2.893
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,"Subvencije troškova stanarine, grijanja i sahrane",,,3.135
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.132
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.242
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.528
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,21.132
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.7
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.542
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,20.573
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.793
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.52
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Svi dobni rasponi ili nema podjele po godinama,Materijalno neobezbjeđena i za rad nesposobne osobe,,,19.124
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.774
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,4.056
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.78
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,4.558
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.886
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.514
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.837
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.866
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,3.923
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Novčane pomoći,,,4.112
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,2.833
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,3.877
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,3.609
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,3.194
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,2.906
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,2.608
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,2.101
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,1.684
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,1.593
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Zdravstvena zaštita na teret općine ili centra za socijalni rad,,,1.737
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,24.0
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,11.0
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,46.0
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,36.0
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,44.0
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,18.0
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,13.0
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,14.0
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,22.0
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Pomoć u rješavanju stambenog pitanja,,,20.0
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,3.357
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,4.145
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,3.612
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,3.734
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,2.472
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,2.338
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,2.141
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,3.942
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,2.04
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Pomoć za prehranu, ogrjev, odjeću i obuću",,,3.188
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,3.601
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.257
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.301
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.34
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.126
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.089
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,4.048
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,3.903
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,3.565
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,S teškim stambenim prilikama,,,2.554
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2022,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,"Subvencije troškova stanarine, grijanja i sahrane",,,0.0
2013,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2014,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2015,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2016,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2017,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2018,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2019,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2020,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
2021,Broj korisnika socijalne zaštite prema oblicima novčane naknade,Ispod 18 godina,Materijalno neobezbjeđena i za rad nesposobne osobe,,,0.0
