Year,SERIES,AGE,SOCIAL,SEX,UNIT_MEASURE,Value
2018,SI_COV_SOCAST,Y_GE18,,F,PT,127.329
2019,SI_COV_SOCAST,Y_GE18,,F,PT,123.576
2020,SI_COV_SOCAST,Y_GE18,,F,PT,135.778
2021,SI_COV_SOCAST,Y_GE18,,F,PT,133.000
2022,SI_COV_SOCAST,Y_GE18,,F,PT,135.627
2013,SI_COV_SOFIN,_T,FIN_AID,,,47.466
2014,SI_COV_SOFIN,_T,FIN_AID,,,45.683
2015,SI_COV_SOFIN,_T,FIN_AID,,,45.697
2016,SI_COV_SOFIN,_T,FIN_AID,,,48.709
2017,SI_COV_SOFIN,_T,FIN_AID,,,47.301
2018,SI_COV_SOFIN,_T,FIN_AID,,,44.442
2019,SI_COV_SOFIN,_T,FIN_AID,,,43.176
2020,SI_COV_SOFIN,_T,FIN_AID,,,46.177
2021,SI_COV_SOFIN,_T,FIN_AID,,,44.088
2022,SI_COV_SOFIN,_T,FIN_AID,,,51.774
2013,SI_COV_SOFIN,_T,H_CARE,,,16.742
2014,SI_COV_SOFIN,_T,H_CARE,,,18.477
2015,SI_COV_SOFIN,_T,H_CARE,,,16.312
2016,SI_COV_SOFIN,_T,H_CARE,,,17.156
2017,SI_COV_SOFIN,_T,H_CARE,,,17.263
2018,SI_COV_SOFIN,_T,H_CARE,,,17.037
2019,SI_COV_SOFIN,_T,H_CARE,,,15.690
2020,SI_COV_SOFIN,_T,H_CARE,,,15.222
2021,SI_COV_SOFIN,_T,H_CARE,,,14.117
2022,SI_COV_SOFIN,_T,H_CARE,,,15.448
2013,SI_COV_SOFIN,_T,HOUSE_AID,,,326
2014,SI_COV_SOFIN,_T,HOUSE_AID,,,289
2015,SI_COV_SOFIN,_T,HOUSE_AID,,,275
2016,SI_COV_SOFIN,_T,HOUSE_AID,,,280
2017,SI_COV_SOFIN,_T,HOUSE_AID,,,277
2018,SI_COV_SOFIN,_T,HOUSE_AID,,,221
2019,SI_COV_SOFIN,_T,HOUSE_AID,,,157
2020,SI_COV_SOFIN,_T,HOUSE_AID,,,214
2021,SI_COV_SOFIN,_T,HOUSE_AID,,,1.020
2022,SI_COV_SOFIN,_T,HOUSE_AID,,,194
2013,SI_COV_SOFIN,_T,H_FOOD,,,12.889
2014,SI_COV_SOFIN,_T,H_FOOD,,,12.839
2015,SI_COV_SOFIN,_T,H_FOOD,,,11.872
2016,SI_COV_SOFIN,_T,H_FOOD,,,11.201
2017,SI_COV_SOFIN,_T,H_FOOD,,,9.019
2018,SI_COV_SOFIN,_T,H_FOOD,,,8.934
2019,SI_COV_SOFIN,_T,H_FOOD,,,8.710
2020,SI_COV_SOFIN,_T,H_FOOD,,,8.404
2021,SI_COV_SOFIN,_T,H_FOOD,,,8.086
2022,SI_COV_SOFIN,_T,H_FOOD,,,12.519
2013,SI_COV_SOFIN,_T,H_DIFF,,,9.630
2014,SI_COV_SOFIN,_T,H_DIFF,,,10.745
2015,SI_COV_SOFIN,_T,H_DIFF,,,10.667
2016,SI_COV_SOFIN,_T,H_DIFF,,,10.850
2017,SI_COV_SOFIN,_T,H_DIFF,,,10.692
2018,SI_COV_SOFIN,_T,H_DIFF,,,10.756
2019,SI_COV_SOFIN,_T,H_DIFF,,,10.558
2020,SI_COV_SOFIN,_T,H_DIFF,,,10.394
2021,SI_COV_SOFIN,_T,H_DIFF,,,9.696
2022,SI_COV_SOFIN,_T,H_DIFF,,,8.355
2013,SI_COV_SOFIN,_T,SUBS,,,3.622
2014,SI_COV_SOFIN,_T,SUBS,,,3.098
2015,SI_COV_SOFIN,_T,SUBS,,,3.242
2016,SI_COV_SOFIN,_T,SUBS,,,2.949
2017,SI_COV_SOFIN,_T,SUBS,,,3.010
2018,SI_COV_SOFIN,_T,SUBS,,,2.913
2019,SI_COV_SOFIN,_T,SUBS,,,3.151
2020,SI_COV_SOFIN,_T,SUBS,,,3.102
2021,SI_COV_SOFIN,_T,SUBS,,,2.893
2022,SI_COV_SOFIN,_T,SUBS,,,3.135
2013,SI_COV_SOFIN,_T,H_INSE,,,19.132
2014,SI_COV_SOFIN,_T,H_INSE,,,19.242
2015,SI_COV_SOFIN,_T,H_INSE,,,20.528
2016,SI_COV_SOFIN,_T,H_INSE,,,21.132
2017,SI_COV_SOFIN,_T,H_INSE,,,20.700
2018,SI_COV_SOFIN,_T,H_INSE,,,20.542
2019,SI_COV_SOFIN,_T,H_INSE,,,20.573
2020,SI_COV_SOFIN,_T,H_INSE,,,19.793
2021,SI_COV_SOFIN,_T,H_INSE,,,19.520
2022,SI_COV_SOFIN,_T,H_INSE,,,19.124
2013,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.774
2014,SI_COV_SOFIN,Y0T17,FIN_AID,,,4.056
2015,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.780
2016,SI_COV_SOFIN,Y0T17,FIN_AID,,,4.558
2017,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.886
2018,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.514
2019,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.837
2020,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.866
2021,SI_COV_SOFIN,Y0T17,FIN_AID,,,3.923
2022,SI_COV_SOFIN,Y0T17,FIN_AID,,,4.112
2013,SI_COV_SOFIN,Y0T17,H_CARE,,,2.833
2014,SI_COV_SOFIN,Y0T17,H_CARE,,,3.877
2015,SI_COV_SOFIN,Y0T17,H_CARE,,,3.609
2016,SI_COV_SOFIN,Y0T17,H_CARE,,,3.194
2017,SI_COV_SOFIN,Y0T17,H_CARE,,,2.906
2018,SI_COV_SOFIN,Y0T17,H_CARE,,,2.608
2019,SI_COV_SOFIN,Y0T17,H_CARE,,,2.101
2020,SI_COV_SOFIN,Y0T17,H_CARE,,,1.684
2021,SI_COV_SOFIN,Y0T17,H_CARE,,,1.593
2022,SI_COV_SOFIN,Y0T17,H_CARE,,,1.737
2013,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,24
2014,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,11
2015,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,46
2016,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,36
2017,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,44
2018,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,18
2019,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,13
2020,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,14
2021,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,22
2022,SI_COV_SOFIN,Y0T17,HOUSE_AID,,,20
2013,SI_COV_SOFIN,Y0T17,H_FOOD,,,3.357
2014,SI_COV_SOFIN,Y0T17,H_FOOD,,,4.145
2015,SI_COV_SOFIN,Y0T17,H_FOOD,,,3.612
2016,SI_COV_SOFIN,Y0T17,H_FOOD,,,3.734
2017,SI_COV_SOFIN,Y0T17,H_FOOD,,,2.472
2018,SI_COV_SOFIN,Y0T17,H_FOOD,,,2.338
2019,SI_COV_SOFIN,Y0T17,H_FOOD,,,2.141
2020,SI_COV_SOFIN,Y0T17,H_FOOD,,,3.942
2021,SI_COV_SOFIN,Y0T17,H_FOOD,,,2.040
2022,SI_COV_SOFIN,Y0T17,H_FOOD,,,3.188
2013,SI_COV_SOFIN,Y0T17,H_DIFF,,,3.601
2014,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.257
2015,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.301
2016,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.340
2017,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.126
2018,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.089
2019,SI_COV_SOFIN,Y0T17,H_DIFF,,,4.048
2020,SI_COV_SOFIN,Y0T17,H_DIFF,,,3.903
2021,SI_COV_SOFIN,Y0T17,H_DIFF,,,3.565
2022,SI_COV_SOFIN,Y0T17,H_DIFF,,,2.554
2013,SI_COV_SOFIN,Y0T17,SUBS,,,0
2014,SI_COV_SOFIN,Y0T17,SUBS,,,0
2015,SI_COV_SOFIN,Y0T17,SUBS,,,0
2016,SI_COV_SOFIN,Y0T17,SUBS,,,0
2017,SI_COV_SOFIN,Y0T17,SUBS,,,0
2018,SI_COV_SOFIN,Y0T17,SUBS,,,0
2019,SI_COV_SOFIN,Y0T17,SUBS,,,0
2020,SI_COV_SOFIN,Y0T17,SUBS,,,0
2021,SI_COV_SOFIN,Y0T17,SUBS,,,0
2022,SI_COV_SOFIN,Y0T17,SUBS,,,0
2013,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2014,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2015,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2016,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2017,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2018,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2019,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2020,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2021,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2022,SI_COV_SOFIN,Y0T17,H_INSE,,,0
2013,SI_COV_SOFIN,Y_GE18,FIN_AID,,,43.692
2014,SI_COV_SOFIN,Y_GE18,FIN_AID,,,41.627
2015,SI_COV_SOFIN,Y_GE18,FIN_AID,,,41.917
2016,SI_COV_SOFIN,Y_GE18,FIN_AID,,,44.151
2017,SI_COV_SOFIN,Y_GE18,FIN_AID,,,43.415
2018,SI_COV_SOFIN,Y_GE18,FIN_AID,,,40.928
2019,SI_COV_SOFIN,Y_GE18,FIN_AID,,,39.339
2020,SI_COV_SOFIN,Y_GE18,FIN_AID,,,42.311
2021,SI_COV_SOFIN,Y_GE18,FIN_AID,,,40.165
2022,SI_COV_SOFIN,Y_GE18,FIN_AID,,,47.662
2013,SI_COV_SOFIN,Y_GE18,H_CARE,,,13.909
2014,SI_COV_SOFIN,Y_GE18,H_CARE,,,14.600
2015,SI_COV_SOFIN,Y_GE18,H_CARE,,,12.703
2016,SI_COV_SOFIN,Y_GE18,H_CARE,,,13.962
2017,SI_COV_SOFIN,Y_GE18,H_CARE,,,14.357
2018,SI_COV_SOFIN,Y_GE18,H_CARE,,,14.429
2019,SI_COV_SOFIN,Y_GE18,H_CARE,,,13.589
2020,SI_COV_SOFIN,Y_GE18,H_CARE,,,13.538
2021,SI_COV_SOFIN,Y_GE18,H_CARE,,,12.524
2022,SI_COV_SOFIN,Y_GE18,H_CARE,,,13.711
2013,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,302
2014,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,278
2015,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,229
2016,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,244
2017,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,233
2018,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,203
2019,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,144
2020,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,200
2021,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,998
2022,SI_COV_SOFIN,Y_GE18,HOUSE_AID,,,174
2013,SI_COV_SOFIN,Y_GE18,H_FOOD,,,9.532
2014,SI_COV_SOFIN,Y_GE18,H_FOOD,,,8.694
2015,SI_COV_SOFIN,Y_GE18,H_FOOD,,,8.260
2016,SI_COV_SOFIN,Y_GE18,H_FOOD,,,7.467
2017,SI_COV_SOFIN,Y_GE18,H_FOOD,,,6.547
2018,SI_COV_SOFIN,Y_GE18,H_FOOD,,,6.596
2019,SI_COV_SOFIN,Y_GE18,H_FOOD,,,6.569
2020,SI_COV_SOFIN,Y_GE18,H_FOOD,,,4.462
2021,SI_COV_SOFIN,Y_GE18,H_FOOD,,,6.046
2022,SI_COV_SOFIN,Y_GE18,H_FOOD,,,9.331
2013,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.029
2014,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.488
2015,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.366
2016,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.510
2017,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.566
2018,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.667
2019,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.510
2020,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.491
2021,SI_COV_SOFIN,Y_GE18,H_DIFF,,,6.131
2022,SI_COV_SOFIN,Y_GE18,H_DIFF,,,5.801
2013,SI_COV_SOFIN,Y_GE18,SUBS,,,3.622
2014,SI_COV_SOFIN,Y_GE18,SUBS,,,3.098
2015,SI_COV_SOFIN,Y_GE18,SUBS,,,3.242
2016,SI_COV_SOFIN,Y_GE18,SUBS,,,2.949
2017,SI_COV_SOFIN,Y_GE18,SUBS,,,3.010
2018,SI_COV_SOFIN,Y_GE18,SUBS,,,2.913
2019,SI_COV_SOFIN,Y_GE18,SUBS,,,3.151
2020,SI_COV_SOFIN,Y_GE18,SUBS,,,3.102
2021,SI_COV_SOFIN,Y_GE18,SUBS,,,2.893
2022,SI_COV_SOFIN,Y_GE18,SUBS,,,3.135
2013,SI_COV_SOFIN,Y_GE18,H_INSE,,,19.132
2014,SI_COV_SOFIN,Y_GE18,H_INSE,,,19.242
2015,SI_COV_SOFIN,Y_GE18,H_INSE,,,20.528
2016,SI_COV_SOFIN,Y_GE18,H_INSE,,,21.132
2017,SI_COV_SOFIN,Y_GE18,H_INSE,,,20.700
2018,SI_COV_SOFIN,Y_GE18,H_INSE,,,20.542
2019,SI_COV_SOFIN,Y_GE18,H_INSE,,,20.573
2020,SI_COV_SOFIN,Y_GE18,H_INSE,,,19.793
2021,SI_COV_SOFIN,Y_GE18,H_INSE,,,19.520
2022,SI_COV_SOFIN,Y_GE18,H_INSE,,,19.124
