Year,SERIES,UNIT_MEASURE,BURDEN,HOUSEHOLD,Степен урбанизације,SERVICES,ACCESS,Value
2021/22,SP_ACS_SERV,,,,,BANKING_S,DIFFICULT,29.4
2011,SP_ACS_SERV,,,,,BANKING_S,EASY,55.8
2015,SP_ACS_SERV,,,,,BANKING_S,EASY,54.8
2021/22,SP_ACS_SERV,,,,,BANKING_S,EASY,69.5
2011,SP_ACS_SERV,,,,,BANKING_S,NOT_USED,8.4
2015,SP_ACS_SERV,,,,,BANKING_S,NOT_USED,8.6
2021/22,SP_ACS_SERV,,,,,BANKING_S,NOT_USED,1.2
2011,SP_ACS_SERV,,,,,POSTAL_S,DIFFICULT,32.2
2015,SP_ACS_SERV,,,,,POSTAL_S,DIFFICULT,32.9
2021/22,SP_ACS_SERV,,,,,POSTAL_S,DIFFICULT,23.9
2011,SP_ACS_SERV,,,,,POSTAL_S,EASY,65.7
2015,SP_ACS_SERV,,,,,POSTAL_S,EASY,62.2
2021/22,SP_ACS_SERV,,,,,POSTAL_S,EASY,75.7
2011,SP_ACS_SERV,,,,,POSTAL_S,NOT_USED,2.1
2015,SP_ACS_SERV,,,,,POSTAL_S,NOT_USED,4.9
2021/22,SP_ACS_SERV,,,,,POSTAL_S,NOT_USED,0.5
2011,SP_ACS_SERV,,,,,TRANSPORT_S,DIFFICULT,19.1
2015,SP_ACS_SERV,,,,,TRANSPORT_S,DIFFICULT,22.3
2021/22,SP_ACS_SERV,,,,,TRANSPORT_S,DIFFICULT,19.2
2011,SP_ACS_SERV,,,,,TRANSPORT_S,EASY,73.6
2015,SP_ACS_SERV,,,,,TRANSPORT_S,EASY,62.4
2021/22,SP_ACS_SERV,,,,,TRANSPORT_S,EASY,73.5
2011,SP_ACS_SERV,,,,,TRANSPORT_S,NOT_USED,7.3
2015,SP_ACS_SERV,,,,,TRANSPORT_S,NOT_USED,15.3
2021/22,SP_ACS_SERV,,,,,TRANSPORT_S,NOT_USED,7.4
2011,SP_ACS_SERV,,,,,H_CARE_S,DIFFICULT,31.4
2015,SP_ACS_SERV,,,,,H_CARE_S,DIFFICULT,29.2
2021/22,SP_ACS_SERV,,,,,H_CARE_S,DIFFICULT,20.7
2011,SP_ACS_SERV,,,,,H_CARE_S,EASY,67.7
2015,SP_ACS_SERV,,,,,H_CARE_S,EASY,70.1
2021/22,SP_ACS_SERV,,,,,H_CARE_S,EASY,79.2
2011,SP_ACS_SERV,,,,,H_CARE_S,NOT_USED,0.9
2015,SP_ACS_SERV,,,,,H_CARE_S,NOT_USED,0.7
2021/22,SP_ACS_SERV,,,,,H_CARE_S,NOT_USED,0.1
2011,SP_ACS_SERV,,,,,EDU_S,DIFFICULT,11.3
2015,SP_ACS_SERV,,,,,EDU_S,DIFFICULT,8.0
2021/22,SP_ACS_SERV,,,,,EDU_S,DIFFICULT,7.3
2011,SP_ACS_SERV,,,,,EDU_S,EASY,37.1
2015,SP_ACS_SERV,,,,,EDU_S,EASY,29.5
2021/22,SP_ACS_SERV,,,,,EDU_S,EASY,40.8
2011,SP_ACS_SERV,,,,,EDU_S,NOT_USED,51.6
2015,SP_ACS_SERV,,,,,EDU_S,NOT_USED,62.5
2021/22,SP_ACS_SERV,,,,,EDU_S,NOT_USED,51.9
,,,,,,,,
