Year,SERIES,UNIT_MEASURE,Пол,Степен урбанизације,Value
2022.0,TOUR_NIGHT,Хиљаде,,Укупно,2.163
2023.0,TOUR_NIGHT,Хиљаде,,Укупно,2.56
2013.0,TOUR_NIGHT,Хиљаде,,DOM,309.0
2014.0,TOUR_NIGHT,Хиљаде,,DOM,292.0
2015.0,TOUR_NIGHT,Хиљаде,,DOM,342.0
2016.0,TOUR_NIGHT,Хиљаде,,DOM,346.0
2017.0,TOUR_NIGHT,Хиљаде,,DOM,364.0
2018.0,TOUR_NIGHT,Хиљаде,,DOM,413.0
2019.0,TOUR_NIGHT,Хиљаде,,DOM,479.0
2020.0,TOUR_NIGHT,Хиљаде,,DOM,413.0
2021.0,TOUR_NIGHT,Хиљаде,,DOM,571.0
2022.0,TOUR_NIGHT,Хиљаде,,DOM,660.0
2023.0,TOUR_NIGHT,Хиљаде,,DOM,680.0
2013.0,TOUR_NIGHT,Хиљаде,,FOR,826.0
2014.0,TOUR_NIGHT,Хиљаде,,FOR,803.0
2015.0,TOUR_NIGHT,Хиљаде,,FOR,1.097
2016.0,TOUR_NIGHT,Хиљаде,,FOR,1.274
2017.0,TOUR_NIGHT,Хиљаде,,FOR,1.497
2018.0,TOUR_NIGHT,Хиљаде,,FOR,1.682
2019.0,TOUR_NIGHT,Хиљаде,,FOR,1.901
2020.0,TOUR_NIGHT,Хиљаде,,FOR,291.0
2021.0,TOUR_NIGHT,Хиљаде,,FOR,925.0
2022.0,TOUR_NIGHT,Хиљаде,,FOR,1.503
2023.0,TOUR_NIGHT,Хиљаде,,FOR,1.88
2013.0,NY_GDP_AGR,Проценат,,,-2.1
2014.0,NY_GDP_AGR,Проценат,,,0.0
2015.0,NY_GDP_AGR,Проценат,,,2.2
2016.0,NY_GDP_AGR,Проценат,,,1.8
2017.0,NY_GDP_AGR,Проценат,,,9.3
2018.0,NY_GDP_AGR,Проценат,,,3.0
2019.0,NY_GDP_AGR,Проценат,,,6.8
2020.0,NY_GDP_AGR,Проценат,,,-28.8
2021.0,NY_GDP_AGR,Проценат,,,19.0
2022.0,NY_GDP_AGR,Проценат,,,20.5
,,,,,
