Year,SERIES,UNIT_MEASURE,Пол,Године,Value
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,15.0
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Мушкарци,,14.1
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,28.4
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,32.7
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,32.4
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,30.1
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,21.5
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,21.5
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,21.7
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,22.3
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,25.5
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,Жене,,22.4
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,58.9
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,65.3
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,64.9
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,55.1
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,45.2
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,41.0
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,39.0
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,40.3
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,41.0
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 до 24 године,37.4
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,25.7
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,26.8
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,27.3
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,25.2
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,19.7
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,19.6
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,19.4
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,15.8
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,17.3
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,Y25T49,16.0
2013.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,26.8
2014.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,27.1
2015.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,27.7
2016.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,25.7
2017.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,20.2
2018.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,19.4
2019.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,18.7
2020.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,17.6
2021.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,18.9
2022.0,"Стопа незапослености, према полу и старости - 13. ICLS (%)",Проценат,,15 do 64 godine,17.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
