Year,SERIES,UNIT_MEASURE,SEX,URBANISATION,Value
2021.0,TOUR_NIGHT,THOUSANDS,,_T,1.496
2022.0,TOUR_NIGHT,THOUSANDS,,_T,2.163
2013.0,TOUR_NIGHT,THOUSANDS,,DOM,309.0
2014.0,TOUR_NIGHT,THOUSANDS,,DOM,292.0
2015.0,TOUR_NIGHT,THOUSANDS,,DOM,342.0
2016.0,TOUR_NIGHT,THOUSANDS,,DOM,346.0
2017.0,TOUR_NIGHT,THOUSANDS,,DOM,364.0
2018.0,TOUR_NIGHT,THOUSANDS,,DOM,413.0
2019.0,TOUR_NIGHT,THOUSANDS,,DOM,479.0
2020.0,TOUR_NIGHT,THOUSANDS,,DOM,413.0
2021.0,TOUR_NIGHT,THOUSANDS,,DOM,571.0
2022.0,TOUR_NIGHT,THOUSANDS,,DOM,660.0
2013.0,TOUR_NIGHT,THOUSANDS,,FOR,826.0
2014.0,TOUR_NIGHT,THOUSANDS,,FOR,803.0
2015.0,TOUR_NIGHT,THOUSANDS,,FOR,1.097
2016.0,TOUR_NIGHT,THOUSANDS,,FOR,1.274
2017.0,TOUR_NIGHT,THOUSANDS,,FOR,1.497
2018.0,TOUR_NIGHT,THOUSANDS,,FOR,1.682
2019.0,TOUR_NIGHT,THOUSANDS,,FOR,1.901
2020.0,TOUR_NIGHT,THOUSANDS,,FOR,291.0
2021.0,TOUR_NIGHT,THOUSANDS,,FOR,925.0
2022.0,TOUR_NIGHT,THOUSANDS,,FOR,1.503
2013.0,NY_GDP_AGR,PT,,,-2.1
2014.0,NY_GDP_AGR,PT,,,0.0
2015.0,NY_GDP_AGR,PT,,,2.2
2016.0,NY_GDP_AGR,PT,,,1.8
2017.0,NY_GDP_AGR,PT,,,9.3
2018.0,NY_GDP_AGR,PT,,,3.0
2019.0,NY_GDP_AGR,PT,,,6.8
2020.0,NY_GDP_AGR,PT,,,-28.8
2021.0,NY_GDP_AGR,PT,,,19.0
2022.0,NY_GDP_AGR,PT,,,20.5
,,,,,
