Year,SERIES,UNIT_MEASURE,SORT,Value
2017,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.2
2018,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.4
2019,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.5
2020,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.6
2021,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.6
2022,"Number of commercial bank branches per 100,000 adults",Number,BANKS_RS_FBIH,1.6
2013,"Number of commercial bank branches per 100,000 adults",Number,_T,34.4
2014,"Number of commercial bank branches per 100,000 adults",Number,_T,34.0
2015,"Number of commercial bank branches per 100,000 adults",Number,_T,33.2
2016,"Number of commercial bank branches per 100,000 adults",Number,_T,32.0
2017,"Number of commercial bank branches per 100,000 adults",Number,_T,32.0
2018,"Number of commercial bank branches per 100,000 adults",Number,_T,31.9
2019,"Number of commercial bank branches per 100,000 adults",Number,_T,31.1
2020,"Number of commercial bank branches per 100,000 adults",Number,_T,31.0
2021,"Number of commercial bank branches per 100,000 adults",Number,_T,31.0
2022,"Number of commercial bank branches per 100,000 adults",Number,_T,30.1
2013,FB_CBK_TOT,Number,BANKS_FBIH,580.0
2014,FB_CBK_TOT,Number,BANKS_FBIH,571.0
2015,FB_CBK_TOT,Number,BANKS_FBIH,557.0
2016,FB_CBK_TOT,Number,BANKS_FBIH,551.0
2017,FB_CBK_TOT,Number,BANKS_FBIH,553.0
2018,FB_CBK_TOT,Number,BANKS_FBIH,549.0
2019,FB_CBK_TOT,Number,BANKS_FBIH,533.0
2020,FB_CBK_TOT,Number,BANKS_FBIH,531.0
2021,FB_CBK_TOT,Number,BANKS_FBIH,527.0
2022,FB_CBK_TOT,Number,BANKS_FBIH,509.0
2013,FB_CBK_TOT,Number,BANKS_RS_FBIH,27.0
2014,FB_CBK_TOT,Number,BANKS_RS_FBIH,32.0
2015,FB_CBK_TOT,Number,BANKS_RS_FBIH,36.0
2016,FB_CBK_TOT,Number,BANKS_RS_FBIH,22.0
2017,FB_CBK_TOT,Number,BANKS_RS_FBIH,22.0
2018,FB_CBK_TOT,Number,BANKS_RS_FBIH,25.0
2019,FB_CBK_TOT,Number,BANKS_RS_FBIH,27.0
2020,FB_CBK_TOT,Number,BANKS_RS_FBIH,28.0
2021,FB_CBK_TOT,Number,BANKS_RS_FBIH,28.0
2022,FB_CBK_TOT,Number,BANKS_RS_FBIH,28.0
2013,FB_CBK_TOT,Number,_T,607.0
2014,FB_CBK_TOT,Number,_T,603.0
2015,FB_CBK_TOT,Number,_T,593.0
2016,FB_CBK_TOT,Number,_T,573.0
2017,FB_CBK_TOT,Number,_T,575.0
2018,FB_CBK_TOT,Number,_T,574.0
2019,FB_CBK_TOT,Number,_T,560.0
2020,FB_CBK_TOT,Number,_T,559.0
2021,FB_CBK_TOT,Number,_T,555.0
2022,FB_CBK_TOT,Number,_T,537.0
