Year,SERIES,UNIT_MEASURE,Sex,COMPOSITE_BREAKDOWN,Degree of urbanisation,Age,Value
2018.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Female,SKILL_INTERNET,Total,All age ranges or no breakdown by age,68.1
2019.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Female,SKILL_INTERNET,Total,All age ranges or no breakdown by age,66.1
2020.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Female,SKILL_INTERNET,Total,All age ranges or no breakdown by age,68.9
2021.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Female,SKILL_INTERNET,Total,All age ranges or no breakdown by age,70.6
2022.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Female,SKILL_INTERNET,Total,All age ranges or no breakdown by age,74.9
2017.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,56.2
2018.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,61.2
2019.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,64.1
2020.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,67.2
2021.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,60.9
2022.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Rural,All age ranges or no breakdown by age,64.6
2017.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,66.8
2018.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,68.5
2019.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,65.1
2020.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,70.7
2021.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,64.4
2022.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_COMP,Urban,All age ranges or no breakdown by age,70.2
2017.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,60.5
2018.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,65.0
2019.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,69.5
2020.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,71.3
2021.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,68.8
2022.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Rural,All age ranges or no breakdown by age,75.3
2017.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,71.0
2018.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,74.6
2019.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,67.6
2020.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,76.2
2021.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,76.9
2022.0,Proportion of youth and adults with information and communications technology (ICT) skills,Percent,Both sexes or no breakdown by sex,SKILL_INTERNET,Urban,All age ranges or no breakdown by age,79.2
,,,,,,,
