Year,SERIES,UNIT_MEASURE,Spol,Godine,Value
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 24 godine,37.4
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,25.7
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,26.8
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,27.3
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,25.2
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,19.7
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,19.6
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,19.4
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,15.8
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,17.3
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,Y25T49,16.0
2013.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,26.8
2014.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,27.1
2015.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,27.7
2016.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,25.7
2017.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,20.2
2018.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,19.4
2019.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,18.7
2020.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,17.6
2021.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,18.9
2022.0,"Stopa nezaposlenosti, prema spolu i dobi - 13. ICLS (%)",Postotak,,15 do 64 godine,17.3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
