Year,SERIES,UNIT_MEASURE,Spol,Stupanj urbanizacije,Value
2016.0,TOUR_ARR,Tisuće,,DOM,199.0
2017.0,TOUR_ARR,Tisuće,,DOM,210.0
2018.0,TOUR_ARR,Tisuće,,DOM,228.0
2019.0,TOUR_ARR,Tisuće,,DOM,256.0
2020.0,TOUR_ARR,Tisuće,,DOM,177.0
2021.0,TOUR_ARR,Tisuće,,DOM,289.0
2022.0,TOUR_ARR,Tisuće,,DOM,338.0
2013.0,TOUR_ARR,Tisuće,,FOR,411.0
2014.0,TOUR_ARR,Tisuće,,FOR,413.0
2015.0,TOUR_ARR,Tisuće,,FOR,537.0
2016.0,TOUR_ARR,Tisuće,,FOR,613.0
2017.0,TOUR_ARR,Tisuće,,FOR,739.0
2018.0,TOUR_ARR,Tisuće,,FOR,843.0
2019.0,TOUR_ARR,Tisuće,,FOR,971.0
2020.0,TOUR_ARR,Tisuće,,FOR,129.0
2021.0,TOUR_ARR,Tisuće,,FOR,378.0
2022.0,TOUR_ARR,Tisuće,,FOR,686.0
2013.0,TOUR_NIGHT,Tisuće,,Ukupno,1.135
2014.0,TOUR_NIGHT,Tisuće,,Ukupno,1.095
2015.0,TOUR_NIGHT,Tisuće,,Ukupno,1.439
2016.0,TOUR_NIGHT,Tisuće,,Ukupno,1.62
2017.0,TOUR_NIGHT,Tisuće,,Ukupno,1.861
2018.0,TOUR_NIGHT,Tisuće,,Ukupno,2.095
2019.0,TOUR_NIGHT,Tisuće,,Ukupno,2.38
2020.0,TOUR_NIGHT,Tisuće,,Ukupno,704.0
2021.0,TOUR_NIGHT,Tisuće,,Ukupno,1.496
2022.0,TOUR_NIGHT,Tisuće,,Ukupno,2.163
2013.0,TOUR_NIGHT,Tisuće,,DOM,309.0
2014.0,TOUR_NIGHT,Tisuće,,DOM,292.0
2015.0,TOUR_NIGHT,Tisuće,,DOM,342.0
2016.0,TOUR_NIGHT,Tisuće,,DOM,346.0
2017.0,TOUR_NIGHT,Tisuće,,DOM,364.0
2018.0,TOUR_NIGHT,Tisuće,,DOM,413.0
2019.0,TOUR_NIGHT,Tisuće,,DOM,479.0
2020.0,TOUR_NIGHT,Tisuće,,DOM,413.0
2021.0,TOUR_NIGHT,Tisuće,,DOM,571.0
2022.0,TOUR_NIGHT,Tisuće,,DOM,660.0
2013.0,TOUR_NIGHT,Tisuće,,FOR,826.0
2014.0,TOUR_NIGHT,Tisuće,,FOR,803.0
2015.0,TOUR_NIGHT,Tisuće,,FOR,1.097
2016.0,TOUR_NIGHT,Tisuće,,FOR,1.274
2017.0,TOUR_NIGHT,Tisuće,,FOR,1.497
2018.0,TOUR_NIGHT,Tisuće,,FOR,1.682
2019.0,TOUR_NIGHT,Tisuće,,FOR,1.901
2020.0,TOUR_NIGHT,Tisuće,,FOR,291.0
2021.0,TOUR_NIGHT,Tisuće,,FOR,925.0
2022.0,TOUR_NIGHT,Tisuće,,FOR,1.503
,,,,,
,,,,,
,,,,,
